# Writting to the csv file.,,,,,,,,,,,
,AlexNet Score,AlexNet Alt,,ResNet Score,ResNet Alt,,DenseNet Score,DenseNet Alt,,,
From./output/alexnet/images/train/,,,,,,,,,,Average AlexNet Score,1.012409192
COCO_train2014_000000002270.jpg,1.015625061,0.984615326,,1.216095601,0.822303772,,1.120402782,0.892536163,,,
COCO_train2014_000000002281.jpg,1.016101399,0.984153748,,1.036597084,0.964694977,,1.044972933,0.956962585,,,
COCO_train2014_000000002284.jpg,1.009445841,0.990642548,,1.069364445,0.935134888,,1.053802862,0.948944092,,,
COCO_train2014_000000002347.jpg,1.002389884,0.997615814,,1.026124398,0.97454071,,1.034645533,0.966514587,,,
COCO_train2014_000000002429.jpg,1.021705154,0.978755951,,1.037093303,0.964233398,,1.072848116,0.932098389,,,
COCO_train2014_000000002448.jpg,1.00008393,0.999916077,,1.027314695,0.97341156,,1.054799316,0.948047638,,,
COCO_train2014_000000002608.jpg,1.000847581,0.999153137,,1.080413629,0.925571442,,1.056214544,0.946777344,,,
COCO_train2014_000000002664.jpg,1.028644975,0.97215271,,1.047767124,0.954410553,,1.100368127,0.908786774,,,
COCO_train2014_000000002691.jpg,1.00163536,0.99836731,,1.059471606,0.94386673,,1.057778674,0.94537735,,,
COCO_train2014_000000002697.jpg,1.013735924,0.986450195,,1.076637479,0.928817749,,1.005990414,0.994045258,,,
COCO_train2014_000000002742.jpg,1.009702455,0.990390778,,1.028919521,0.971893311,,1.085653229,0.921104431,,,
COCO_train2014_000000002754.jpg,1.005944089,0.994091034,,1.000160243,0.999839783,,1,1,,,
COCO_train2014_000000002782.jpg,1.00456789,0.995452881,,1.027580476,0.97315979,,1.055559582,0.947364807,,,
COCO_train2014_000000002842.jpg,1.004656439,0.995365143,,1.025935652,0.974720001,,1.022179243,0.978302002,,,
COCO_train2014_000000002860.jpg,1.022941096,0.977573395,,1.047984936,0.954212189,,1.025779086,0.974868774,,,
COCO_train2014_000000003219.jpg,1.014583398,0.985626221,,1.115720031,0.896282196,,1.087851801,0.919242859,,,
COCO_train2014_000000003320.jpg,1.015341831,0.984889984,,1.12153883,0.89163208,,1,1,,,
COCO_train2014_000000003366.jpg,1.000572532,0.999427795,,1.017687159,0.982620239,,1.013645767,0.986537933,,,
COCO_train2014_000000003478.jpg,1.013943738,0.986248016,,1.013928051,0.986263275,,1.029097247,0.971725464,,,
COCO_train2014_000000003535.jpg,1,1,,1.030646867,0.970264435,,1.071777847,0.933029175,,,
COCO_train2014_000000003579.jpg,1.010952396,0.98916626,,1.278258622,0.782314301,,1.082242396,0.924007416,,,
COCO_train2014_000000003671.jpg,1.007540875,0.992515564,,1.01221716,0.987930298,,1.044760535,0.957157135,,,
